question,answer,question_ar,answer_ar
"Steps to select and register in the credit hours system (Computer Science students, excluding transfers and advanced entries)","Student visits the academic advisor to select courses.The advisor reviews the selections and, if approved, sends an electronic payment authorization to the cashier (if not approved, the fees will not be available for payment).The student signs a paper form with their selections and the academic advisor signs a second copy.The student goes to the cashier to pay the fees.The student goes to Student Affairs to collect the ID card.",خطوات اختيار وتسجيل المواد في نظام الساعات المعتمدة (طلاب علوم الحاسب غير المحولين).,يزور الطالب المرشد الأكاديمي لاختيار المواد ثم يعتمد الجدول ويستلم الكارنيه من شؤون الطلاب.
Steps to select and register in the credit hours system (Computer Science transfers and direct entry),"Student goes to Student Affairs to create an academic email and obtain the password.Student then visits the academic advisor to choose courses; the advisor reviews the selection and, if approved, sends an electronic payment authorization to the cashier.The student signs a paper form with their selections and the advisor signs a second copy.The student goes to the cashier to pay the fees.The student returns to Student Affairs to collect the temporary ID card.",خطوات اختيار وتسجيل المواد في نظام الساعات المعتمدة (للمحولين والمقبولين مباشرة).,يتوجه الطالب لشؤون الطلاب لفتح ملف أكاديمي ثم يراجع الجدول مع المرشد ويستلم كارنيه مؤقت.
What is the language of instruction?,The Computer Science division is taught in English. The Business Information Systems and Accounting programs are taught in Arabic and/or English according to each course.,ما هي لغة الدراسة؟,قسم علوم الحاسب يُدرس باللغة الإنجليزية، وباقي البرامج بالعربية أو الإنجليزية حسب المقرر.
What are the admission requirements?,"Admission to the institute is through the national coordination office (Tansiq) and follows its rules regarding qualifications, total score and the applied program, and the application procedures and dates announced by the coordination authority.",ما هي شروط القبول؟,القبول يتم من خلال مكتب التنسيق وفق المواعيد والشروط المعلنة.
What procedures should I follow after acceptance?,"Go to Student Affairs with your printed nomination card from the coordination website to complete registration procedures,medical examination, and fee payment. You must submit originals of: the high school certificate,birth certificate, Military Form 2, six passport-size photos, and copies of the student and guardian IDs.",ما هي الإجراءات الواجب اتباعها بعد القبول؟,التوجه لشؤون الطلاب مع بطاقة الترشيح المطبوعة والمستندات المطلوبة وصور شخصية.
Is there pre-coordination seat reservation?,There is no reservation before coordination; admission follows the rules and minimum scores set by the coordination office.Prospective students and guardians may visit the institute to learn about its facilities.,هل يوجد حجز مقاعد قبل التنسيق؟,لا يوجد حجز قبل التنسيق، ويمكن لولي الأمر زيارة المعهد للتعرف عليه فقط.
Is registering the institute among my preferences required for electronic transfer on the coordination site?,No.,هل يجب تسجيل المعهد في رغباتي لإتمام التحويل الإلكتروني على موقع التنسيق؟,لا، ليس شرطًا تسجيل المعهد في الرغبات لإتمام التحويل الإلكتروني.
"If I am nominated to another institution, can I transfer to the institute?",Yes  transfers to the institute are possible via the coordination website provided the student meets the requiredscore announced by the coordination office and applies during the official transfer period; coordination approval will issue a new nomination card.,إذا تم ترشيحي لمؤسسة أخرى، هل يمكن التحويل للمعهد؟,نعم، يمكن التحويل عبر موقع التنسيق خلال فترة التحويلات.
Are paper transfers allowed for students graduating in 2025?,No  paper-based transfers for newly qualified 2025 students are prohibited according to Ministry instructions.,هل يُسمح بالتحويل الورقي لطلاب دفعة 2025؟,لا، التحويل الورقي غير مسموح لدفعة 2025.
What are tuition fees for the institute programs?,Tuition fees are set annually by the Ministry of Higher Education. The fees for Egyptian students for 20242025 remain in effect until the ministry publishes the new rates for 20252026.,ما هي مصاريف برامج المعهد؟,المصاريف تحدد سنويًا من وزارة التعليم العالي حسب البرنامج.
Is there an annual increase in fees?,Payment schedule: 70% at initial registration at the start of the academic year and 30% at the start of the second term (after the mid-year break).,هل توجد زيادة سنوية في المصاريف؟,نعم، توجد زيادة سنوية وفق قرارات الوزارة.
